Gestió Administrativa,GAD,1
Gestió Administrativa perfil Sanitari,GADSan,1
Administració i Finances,ADFI,1
Sistemes microinformàtic i xarxes,SMX,2
Desenvolupament d’aplicacions web,DAW,2
Desenvolupament d’aplicacions multiplataforma,DAM,2
Administració de sistemes informàtics en xarxa,ASIX,2
Activitats comercials,ACO,3
ACO perfil logístic,ACOLog,3
Transport i logística,TIL,3
Comerç Internacional,CIT,3
Gestió de vendes i espais comercials,GVEC,3
Marquèting i publicitat,MIP,3
